ID,KEY,VALUE
5,"IP Address
(Primary)",172.29.46.203
5,"IP Address
(BAK)",-
5,"IP Address
(Management iDRAC, iLO)",-
5,Operating System,Windows Server 2012 Ent
5,Service Pack,-
5,Database Vsersion,-
5,Service patch,-
5,เลขที่สัญญา,-
5,Delivery Date,-
5,MA Status,-
5,MA Start Date,-
5,MA Expired Date,-
5,Vender,-
5,ประเภทการรับประกัน,-
5,Owner,วศิน ศีติสาร
5,Type of Asset,Hardware
5, ISO Scope,No
5,System Doc,-
5,HealthCheck,-
5,Allow port firewall Server,-
5,Deploy App,
6,CI Name,SIA09-SCAPX2
6,Primary Capability,VM
6,Group (ห้ามแก้),ระบบสนับสนุน - การลงทะเบียน
6,System (ห้ามแก้),Production
6,System Detail,App Server
6,Server Type (ห้ามแก้),
6,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
6,SAP ID,-
6,รหัสครุภัณฑ์,-
6,Serial Number,VMWare
6,Organization,Siriraj
6,"Status
(Active / Inactive)",Active
6,Product Name,-
6,Model/Version,-
6,DC Room - Building,ตึกศรีสวรินทิรา
6,Floor,7
6,Rack Number,-
6,Unit,-
6,Is Virtual?,Y
6,VM Cluster Group,ESXD Cluster
6,"IP Address
(Primary)",192.168.9.90
6,"IP Address
(BAK)",-
6,"IP Address
(Management iDRAC, iLO)",-
6,Operating System,Windows Server 2019 Standard
6,Service Pack,-
6,Database Vsersion,-
6,Service patch,-
6,เลขที่สัญญา,-
6,Delivery Date,-
6,MA Status,-
6,MA Start Date,-
6,MA Expired Date,-
6,Vender,-
6,ประเภทการรับประกัน,-
6,Owner,วศิน ศีติสาร
6,Type of Asset,Hardware
6, ISO Scope,No
6,System Doc,-
6,HealthCheck,-
6,Allow port firewall Server,-
6,Deploy App,
7,CI Name,SIA09-BXFS02
7,Primary Capability,VM
7,Group (ห้ามแก้),ระบบสำนักงาน -แลกเปลี่ยนข้อมูล
7,System (ห้ามแก้),Files server
7,System Detail,Interface Files server
7,Server Type (ห้ามแก้),
7,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
7,SAP ID,-
7,รหัสครุภัณฑ์,-
7,Serial Number,VMWare
7,Organization,Siriraj
7,"Status
(Active / Inactive)",Active
7,Product Name,-
7,Model/Version,-
7,DC Room - Building,ตึกศรีสวรินทิรา
7,Floor,7
7,Rack Number,-
7,Unit,-
7,Is Virtual?,Y
7,VM Cluster Group,ESPR Cluster
7,"IP Address
(Primary)",172.29.51.50
7,"IP Address
(BAK)",-
7,"IP Address
(Management iDRAC, iLO)",-
7,Operating System,Windows Server 2019 Standard
7,Service Pack,-
7,Database Vsersion,-
7,Service patch,-
7,เลขที่สัญญา,-
7,Delivery Date,-
7,MA Status,-
7,MA Start Date,-
7,MA Expired Date,-
7,Vender,-
7,ประเภทการรับประกัน,-
7,Owner,Basis Team
7,Type of Asset,Hardware
7, ISO Scope,Implement & Certified
7,System Doc,-
7,HealthCheck,-
7,Allow port firewall Server,-
7,Deploy App,
8,CI Name,SIA09-NUTDV2
8,Primary Capability,VM
8,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
8,System (ห้ามแก้),UAT
8,System Detail,App Server
8,Server Type (ห้ามแก้),
8,"Environment(Production, UAT, Testing/Development, Not Used,..)",UAT
8,SAP ID,-
8,รหัสครุภัณฑ์,-
8,Serial Number,VMWare
8,Organization,Siriraj
8,"Status
(Active / Inactive)",Active
8,Product Name,-
8,Model/Version,-
8,DC Room - Building,ตึกศรีสวรินทิรา
8,Floor,7
8,Rack Number,-
8,Unit,-
8,Is Virtual?,Y
8,VM Cluster Group,ESPR Cluster
8,"IP Address
(Primary)",172.29.66.203
8,"IP Address
(BAK)",-
8,"IP Address
(Management iDRAC, iLO)",-
8,Operating System,Windows Server 2019 Standard
8,Service Pack,-
8,Database Vsersion,-
8,Service patch,-
8,เลขที่สัญญา,-
8,Delivery Date,-
8,MA Status,-
8,MA Start Date,-
8,MA Expired Date,-
8,Vender,-
8,ประเภทการรับประกัน,-
8,Owner,วศิน ศีติสาร
8,Type of Asset,Hardware
8, ISO Scope,No
8,System Doc,-
8,HealthCheck,-
8,Allow port firewall Server,-
8,Deploy App,
9,CI Name,SIA09-SPIFDV
9,Primary Capability,VM
9,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
9,System (ห้ามแก้),Test
9,System Detail,Interface Server
9,Server Type (ห้ามแก้),
9,"Environment(Production, UAT, Testing/Development, Not Used,..)",Testing
9,SAP ID,-
9,รหัสครุภัณฑ์,-
9,Serial Number,VMWare
9,Organization,Siriraj
9,"Status
(Active / Inactive)",Active
9,Product Name,-
9,Model/Version,-
9,DC Room - Building,ตึกศรีสวรินทิรา
9,Floor,7
9,Rack Number,-
9,Unit,-
9,Is Virtual?,Y
9,VM Cluster Group,ESPR Cluster
9,"IP Address
(Primary)",192.168.32.160
9,"IP Address
(BAK)",-
9,"IP Address
(Management iDRAC, iLO)",-
9,Operating System,Windows Server 2019 Standard
9,Service Pack,-
9,Database Vsersion,-
9,Service patch,-
9,เลขที่สัญญา,-
9,Delivery Date,-
9,MA Status,-
9,MA Start Date,-
9,MA Expired Date,-
9,Vender,-
9,ประเภทการรับประกัน,-
9,Owner,วศิน ศีติสาร
9,Type of Asset,Hardware
9, ISO Scope,No
9,System Doc,-
9,HealthCheck,-
9,Allow port firewall Server,-
9,Deploy App,
10,CI Name,SIA09-MLPR01
10,Primary Capability,VM
10,Group (ห้ามแก้),ระบบสำนักงาน-คลังข้อมูล
10,System (ห้ามแก้),Production
10,System Detail,Web Server ระบบงานหอสมุดคณะฯ
10,Server Type (ห้ามแก้),
10,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
10,SAP ID,-
10,รหัสครุภัณฑ์,-
10,Serial Number,VMWare
10,Organization,Siriraj
10,"Status
(Active / Inactive)",Active
10,Product Name,-
10,Model/Version,-
10,DC Room - Building,ตึกศรีสวรินทิรา
10,Floor,7
10,Rack Number,-
10,Unit,-
10,Is Virtual?,Y
10,VM Cluster Group,ESPR Cluster
10,"IP Address
(Primary)",10.7.102.151
10,"IP Address
(BAK)",-
10,"IP Address
(Management iDRAC, iLO)",-
10,Operating System,Ubuntu 20.04
10,Service Pack,-
10,Database Vsersion,-
10,Service patch,-
10,เลขที่สัญญา,-
10,Delivery Date,-
10,MA Status,-
10,MA Start Date,-
10,MA Expired Date,-
10,Vender,-
10,ประเภทการรับประกัน,-
10,Owner,วศิน ศีติสาร
10,Type of Asset,Hardware
10, ISO Scope,No
10,System Doc,-
10,HealthCheck,-
10,Allow port firewall Server,-
10,Deploy App,
11,CI Name,SIA09-MLPR02
11,Primary Capability,VM
11,Group (ห้ามแก้),ระบบสำนักงาน-คลังข้อมูล
11,System (ห้ามแก้),Production
11,System Detail,DB Server ระบบงานหอสมุดคณะฯ
11,Server Type (ห้ามแก้),
11,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
11,SAP ID,-
11,รหัสครุภัณฑ์,-
11,Serial Number,VMWare
11,Organization,Siriraj
11,"Status
(Active / Inactive)",Active
11,Product Name,-
11,Model/Version,-
11,DC Room - Building,ตึกศรีสวรินทิรา
11,Floor,7
11,Rack Number,-
11,Unit,-
11,Is Virtual?,Y
11,VM Cluster Group,ESPR Cluster
11,"IP Address
(Primary)",10.7.102.152
11,"IP Address
(BAK)",-
11,"IP Address
(Management iDRAC, iLO)",-
11,Operating System,Ubuntu 20.04
11,Service Pack,-
11,Database Vsersion,MariaDB
11,Service patch,10.5
11,เลขที่สัญญา,-
11,Delivery Date,-
11,MA Status,-
11,MA Start Date,-
11,MA Expired Date,-
11,Vender,-
11,ประเภทการรับประกัน,-
11,Owner,วศิน ศีติสาร
11,Type of Asset,Hardware
11, ISO Scope,No
11,System Doc,-
